title,soldprice,solddate,link
2001 Upper Deck Golf Tiger Woods Rookie Card #1 Gold HOF GOAT RC MINT,89.0,"Sold  Feb 1, 2023",https://www.ebay.com/itm/234873670752?hash=item36af8fcc60%3Ag%3Ad5gAAOSw%7EVtj0hKv&amdata=enc%3AAQAHAAAAoGgAyuCWVDUPdz6hQgTv2aHMm%2BGF9oC8RsnmOc381QMQoM%2F5cf0yffqq8KQg6xG4WeXMGFUu%2F0aVnTYST3RZ9ISir0deW5ooUm5W8lDW08i%2B67gjsR5utJwls0sYEFuzYLrFYEiwjNoEILlMQNIXvFc6ayk2otqCR6kDB9poEeLlsIaESMVIA3JqVSaPGqegoxST6kI3eri2yaDm4QftcAc%3D%7Ctkp%3ABk9SR6yH8YzCYQ&LH_Auction=1
2005 Topps Tom Brady 50th Anniversary All-Pro Patriots #352.,0.99,"Sold  Feb 1, 2023",https://www.ebay.com/itm/404126735948?hash=item5e17d49e4c%3Ag%3AyDgAAOSw4slj0hKI&amdata=enc%3AAQAHAAAAoEW7T5moV3Ks7EepzcrWtVP%2FiS4g0s9YlUy0ZL8SH12AwvkMCN1miS0Cgf7IBnztcd1HyLozLA8Fo7D6tAz2Z85gY35Yb3D0UalosmvUcXQR5CZnC6jFZAu2kqhEE83vIm%2F0DT0%2BFV7evtgWFRhUmQlDARiOlXmFgmFJUi0X1dWctviHvc5bkWyIUqyTXhBG5boe5jyuC6mtuq2k6E0vvTU%3D%7Ctkp%3ABk9SR6yH8YzCYQ&LH_Auction=1
Tom Brady Card Lot,25.0,"Sold  Feb 1, 2023",https://www.ebay.com/itm/185751202188?hash=item2b3fa2698c%3Ag%3AJBUAAOSwi-5j0hD-&amdata=enc%3AAQAHAAAAoNOuKYBHvmw1je2eYbyu8stjdarAXBiO4446r%2BTO44mEl9v5Qipa7H2Z9%2BcDm4QWuXmfmOcrkYopvGnr8e1iRXOQccBwyEHF7aVbbDC1TJnx9gvEoerVF0tID5xrpe7A%2B8%2FrJJcpzYJIHDGDX7uJvmL2M%2FRYfgkW9%2BZft24aH9023El7gKIujDCsT8JPB1sJiONvifYANx7xIvGz3ezV8Gs%3D%7Ctkp%3ABk9SR6yH8YzCYQ&LH_Auction=1
TOM BRADY 2005 Topps Postseason Highlights 50th Anniversary #360 NFL,0.99,"Sold  Feb 1, 2023",https://www.ebay.com/itm/404126729563?hash=item5e17d4855b%3Ag%3ADSUAAOSwCFhj0hI5&amdata=enc%3AAQAHAAAAoICTtsIzv7Hf%2FRY9vH9fXb0ojZcmjwpeSZLOBdlPnWeoOJC7BiKUwZurPiaOih%2B1VZ82DUKvElLmWlIQaMd1Sap0JyxbMeiAYwYrmrPulIZbqMlIlxUhMZRThuufdNtLGI8jJ%2BNxdw97G7uoWdu2yFmCnbHbCZmZG%2FjuC2N%2B3Po65bvB1yrgNBvxNmBv0RGXWxX8fRwmqCORzmoNccqPckM%3D%7Ctkp%3ABk9SR6yH8YzCYQ&LH_Auction=1
"TOM BRADY  "" 7 TIME SUPER CHAMPION ""  2022 PANINI PRESTIGE   #273",0.5,"Sold  Feb 1, 2023",https://www.ebay.com/itm/404126728723?hash=item5e17d48213%3Ag%3ABuAAAOSw0gRjyNbu&amdata=enc%3AAQAHAAAAoMlJTf%2BCnenojcYL0F4J7mAwA8%2FFzDpPbpL0hz9SIdnfnJ84YOOBr1b2USnafZHiGZCKzXDqTzIus%2BfR0h%2BYX%2FPXfSQUOqMtFVmQ%2BcKcXlMIsQRJ8zl%2BA0IcLmSpymZRDnhfFp9NUQKSGfx6SYRnjl7T0K9rSj0KpJpY4tC8fHMjX5tskTk6oU6XGSR0UEZqu2mPLQnXqJJY%2BoWjM15WhA8%3D%7Ctkp%3ABk9SR66H8YzCYQ&LH_Auction=1
2009 Upper Deck First Edition Tom Brady Bombs Away SP,70.0,"Sold  Feb 1, 2023",https://www.ebay.com/itm/165906554614?hash=item26a0cd1ef6%3Ag%3Av88AAOSwrbNj0hCU&amdata=enc%3AAQAHAAAAoLUuqOdJ5VIVBJKkailweMBFp%2BjCtT6TDFoSi5brs1edSWx1kH%2BcyRoBE2w0fPE5M%2Bh8JG8eJirMF%2Ff1eptRYIDDRjvpfPyVZ%2BkDug2OikMiOVsCP8m03jabiKnDm2OQWPqqidcWLh%2B1jfviQ92pGJ%2F7Dp8XodjawTOTs5v8oCf%2Bx8GxnJZcZGgK5Z03cgMe3VdOTAccvPmRCWGVPIeGChY%3D%7Ctkp%3ABk9SR66H8YzCYQ&LH_Auction=1
2013 Topps Prime Tom Brady card #12,1.25,"Sold  Feb 1, 2023",https://www.ebay.com/itm/165906546920?hash=item26a0cd00e8%3Ag%3AjbgAAOSwaEpj0g7e&amdata=enc%3AAQAHAAAA4K8oI%2BQ5HWcHZuZqLGLm46BcGGC67iioNHUpEEs0EnKjXVV0y4uPodwl%2BM2C1ET%2B8m7la7hlI1OmT60PcKgqqVtViCIrs1GhTs6H24vaA6PfIAWTx6cRXeWebjoLX6rRAojqhWCFt2M12X7WrstOXHgNPcveIuXnLqZpkWRGYEkBJqAU4gJmPQBSU9hic5UI28v8JVRCCshFYGEksPDe3S9xbqKAyHthrL00309PyiuHU4pF1Ty4Bdv77%2For9%2BcGxvu%2FTx0dc29g9Xwa67WkY%2Bn%2BZbPu4fi8ctF%2FHReT9Rka%7Ctkp%3ABk9SR66H8YzCYQ&LH_Auction=1
2013 Panini Absolute Retail #58 Tom Brady,1.25,"Sold  Feb 1, 2023",https://www.ebay.com/itm/165906545339?hash=item26a0ccfabb%3Ag%3A7pMAAOSwp45j0g4W&amdata=enc%3AAQAHAAAAoApDxeqKcE5KlyjTqA6DYlqiKSG6WDaXpFSBBnFLLTfLxbfi7p%2FSttxLq2XvUQpXOvLOLU%2FGIczAeJULHH9nNdkuEJP8UX3xI21V%2BTDX4HcWJBrAV9D5OVAZzdYzYwZxEPBJ%2BTXsNEAcHJ7KpVrOwN7FfPlcPOjE2pPlyfBtTBW9h%2BjRHmCfWtEcrmQuCOxTOY0QL6O9kevHBJ2bepvmbY8%3D%7Ctkp%3ABk9SR66H8YzCYQ&LH_Auction=1
2022 Tom Brady Panini Certified Purple 5/10 SSP Rare Buccaneers🔥🔥,127.5,"Sold  Feb 1, 2023",https://www.ebay.com/itm/204224892099?hash=item2f8cc08cc3%3Ag%3A2ygAAOSw07lj0g4K&amdata=enc%3AAQAHAAAAoCLYTnYFmd4%2FoB2M1BXMcrDsd53QC3nCUNpuBYhCGNpgQy4%2FBnmbrvgm6Z1rGEoslEZNaP6t0xYzYDnRt8ViuxZWVaGbt7quT29JaBIb9%2FdulpC4hMgi1B0iViIYK7k2B4qTnVvD8MyzoqS9DSHooeP1NPYkeNesKcK7ff%2FkRvLLZ6uc6CVnSPy44DhtKfO%2BbxD%2F8m4IwpQgi%2Fy19L3I%2FCQ%3D%7Ctkp%3ABk9SR66H8YzCYQ&LH_Auction=1
"Tom Brady Lot/Collection numbered,color,psa",122.5,"Sold  Feb 1, 2023",https://www.ebay.com/itm/354543081200?hash=item528c6a16f0%3Ag%3A9cwAAOSwA8Bj0g11&amdata=enc%3AAQAHAAAAoJKOp5%2FxM2ZHzrZDMBEHIMrjL1KO%2F6mRFDpUQneJVJ%2BTL8zW0EHmCQDdRED4Y2BhWnaqrvosXCz7P45t0tigRZHjUQCTvor6s1Mevq5qpryPW5tJN3UcNqsrSEFRHFN6N9IQFGDx%2Bnro5kc5qjYdiB9DfKHIHpeuBfbV%2FP9q%2FCxVGBngSFnGfrVrFpFeClwH%2BDBlKvcd2aFSupLYrhW3t0c%3D%7Ctkp%3ABk9SR66H8YzCYQ&LH_Auction=1
2003 LEAF ROOKIES & STARS TOM BRADY #51 PSA 8 NM-MT NEW ENGLAND PATRIOTS,24.5,"Sold  Feb 1, 2023",https://www.ebay.com/itm/175587504382?hash=item28e1d4b0fe%3Ag%3AzpIAAOSwnyFjw2em&amdata=enc%3AAQAHAAAAoOzfDyJcDoOzgHAVdN60VgpkOSTgvqR6KQu2JwGiTt%2FpGy9P0ZBdaqMeAvGFRPooWkA4KXB7np7g8ah%2FhTkOnIPI%2BVVBFu66cyrO7oIjzoFSCC%2BjbTbCuUWieq2qQsKplwSMPfDbSjc45515ydi%2BbbV10i%2FO7gCKrBryjSMs6N%2B8%2BSr5wRNUg6xUWiXqyv639wwqbSkLExxgttKyKA0%2BN2M%3D%7Ctkp%3ABk9SR66H8YzCYQ&LH_Auction=1
New Listing2000 Quantum Leaf - #343 Tom Brady (RC),65.0,"Sold  Feb 1, 2023",https://www.ebay.com/itm/285130443507?epid=3055556842&hash=item4263194af3%3Ag%3AyQ4AAOSwXj5j2zQ7&amdata=enc%3AAQAHAAAAoGkK%2BIZ5mZD62FK1RfVFYs48kKYyq2BX5xdx5TS5G0d3CHRSlaKGnwWtjEhUUHI2R9QsZs65%2FC%2BipmsWraI%2B2Ylr%2FiuVcB2%2BMiQBitrjeo30VPAJMMmOE6mzM5fbYNxvlXtl3DrNTP5qLQ8PYYSbb%2BTgNBHsCa9VHIK3MOOS95DF8SgogrtJS%2F3xMdkj6dILbFNJC%2BqlZB7uf%2ByWNLqKIQA%3D%7Ctkp%3ABk9SR66H8YzCYQ&LH_Auction=1
"2022 Mosaic Super Bowl Champs Insert Lot(3) Eli Manning Prizm, Mahomes, Brady...",1.99,"Sold  Feb 1, 2023",https://www.ebay.com/itm/295492555493?hash=item44ccba92e5%3Ag%3AWSgAAOSwqTtjv5dN&amdata=enc%3AAQAHAAAAoH0qqg%2FJMgPt%2Fskn5L%2BU1bYZRsadLAuhf9mOJDXU8S6OmQpBkSknwavOoYBdpRqYqifgD0u18bqw%2FhdSoYgT8OHIw8SmgTeCqwfmWkk5zK2NQzOyPljqZowyOw3WG9QpRT8sG26FaqWbK1zhOD0EQwR7PzJvgWHwpZ%2BrQ%2F4MP6i29YHl%2BRbDUzu5aH7bMpX2A90kfpNP2LIqIWMnZaOoCjc%3D%7Ctkp%3ABk9SR66H8YzCYQ&LH_Auction=1
